,sna,tot,sbi,sarea,mday,ar,bemp,act
887,YouBike2.0_北投公園露天溫泉,15,7,北投區,2023-05-27 14:18:13,中山路6號西側(北投溪木道西側),8,1
888,YouBike2.0_中和街493巷9弄口,16,1,北投區,2023-05-27 13:52:04,中和街493巷9弄2號對側,15,1
890,YouBike2.0_石牌立農街口,29,7,北投區,2023-05-27 14:16:16,石牌路二段/立農街二段口,22,1
891,YouBike2.0_捷運唭哩岸站(1號出口),20,8,北投區,2023-05-27 14:17:34,捷運唭哩岸站一(東華) 公車亭對側人行道,12,1
892,YouBike2.0_大興光明路2巷口,14,6,北投區,2023-05-27 13:50:20,大興街50號對側人行道,8,1
893,YouBike2.0_捷運忠義站(2號出口),20,1,北投區,2023-05-27 13:34:14,捷運忠義站(2號出口)無障礙坡道旁,19,1
894,YouBike2.0_福國承德路口,15,5,北投區,2023-05-27 08:28:14,承德路六段80號南側,9,1
896,YouBike2.0_華固創富中心,15,6,北投區,2023-05-27 12:55:24,承德路六段120號(北側地下室車道旁),9,1
900,YouBike2.0_塔悠八德路口,34,5,松山區,2023-05-27 14:13:15,塔悠路2號(旁),28,1
901,YouBike2.0_鵬程公園,24,1,松山區,2023-05-27 14:09:04,健康路399號北側,23,1
902,YouBike2.0_中崙高中,50,5,松山區,2023-05-27 14:16:16,八德路四段91巷9號(對面),41,1
905,YouBike2.0_光復北路11巷口,23,1,松山區,2023-05-27 14:16:16,光復北路13號(旁),22,1
906,YouBike2.0_捷運南京三民站(4號出口),13,5,松山區,2023-05-27 14:16:16,南京東路五段229號(前),7,1
907,YouBike2.0_西松高中,14,0,松山區,2023-05-27 13:52:04,健康路325巷5弄5號(前),13,1
908,YouBike2.0_民權復興路口,27,2,松山區,2023-05-27 14:08:15,民權東路三段119號(前),25,1
909,YouBike2.0_民福三號綠地,15,1,松山區,2023-05-27 14:13:04,民族東路712號(對面),14,1
912,YouBike2.0_松基公園,20,5,松山區,2023-05-27 14:17:34,長春路432號(對面),14,1
913,YouBike2.0_三民路166巷口,12,7,松山區,2023-05-27 14:16:16,三民路166巷1號(對面),5,1
915,YouBike2.0_捷運小巨蛋站(2號出口),26,7,松山區,2023-05-27 14:10:20,南京東路四段6號(前),19,1
916,YouBike2.0_臺北市藝文推廣處,45,9,松山區,2023-05-27 14:16:16,八德路三段25號(前),36,1
917,YouBike2.0_民生國小(敦化北路199巷),20,4,松山區,2023-05-27 14:13:15,敦化北路199巷15號(旁),15,1
919,YouBike2.0_民權運動公園,21,3,松山區,2023-05-27 14:06:16,民權東路四段/新中街口(西南側),18,1
920,YouBike2.0_新東公園,36,2,松山區,2023-05-27 14:16:16,民生東路五段/塔悠路口(西南側),34,1
922,YouBike2.0_三民公園,22,4,松山區,2023-05-27 13:54:15,撫遠街298號對側公園,18,1
923,YouBike2.0_八德路三段74巷口,17,2,松山區,2023-05-27 14:17:24,八德路三段74巷95號南側,15,1
924,YouBike2.0_八德路三段8巷口,15,4,松山區,2023-05-27 14:17:34,市民大道四段123號,11,1
925,YouBike2.0_三軍總醫院(松山分院),44,0,松山區,2023-05-27 14:17:24,光復北路/光復北路190巷口(東南側),43,1
926,YouBike2.0_平安新城,16,1,松山區,2023-05-27 13:50:20,延壽街356巷/延壽街330巷16弄(東北側),15,1
927,YouBike2.0_健康社會住宅,20,4,松山區,2023-05-27 14:17:34,健康路305號(前),14,1
928,YouBike2.0_民權光復路口(東北側),24,9,松山區,2023-05-27 13:08:15,民權東路四段/光復北路(東北側),15,1
929,YouBike2.0_市民東興路口,25,1,松山區,2023-05-27 14:18:13,東興路33號南側,23,1
930,YouBike2.0_光復南路22巷口,29,0,松山區,2023-05-27 14:17:24,光復南路19號西側,28,1
931,YouBike2.0_光復南路58巷,12,0,松山區,2023-05-27 14:17:24,光復南路58巷11號東側,9,1
932,YouBike2.0_松山新城,14,0,松山區,2023-05-27 13:30:28,健康路78號(對面),14,1
933,YouBike2.0_內政部營建署,33,2,松山區,2023-05-27 14:17:34,八德路二段342號(前),31,1
935,YouBike2.0_民生立體停車場,20,0,松山區,2023-05-27 14:17:24,民生東路五段84號前,19,1
936,YouBike2.0_健康新城,35,4,松山區,2023-05-27 14:18:13,健康路179號前,28,1
938,YouBike2.0_復盛公園,20,2,松山區,2023-05-27 14:12:15,八德路四段106巷/八德路四段106巷6弄口(東側),17,1
939,YouBike2.0_中崙福成宮,27,3,松山區,2023-05-27 14:10:20,市民大道四段73號前,23,1
940,YouBike2.0_捷運南京復興站(7號出口),15,8,松山區,2023-05-27 14:11:15,慶城街1號(東南側),7,1
942,YouBike2.0_塔悠疏散門,32,8,松山區,2023-05-27 13:58:15,民權東路五段41之1號,24,1
943,YouBike2.0_臺北田徑場,42,4,松山區,2023-05-27 14:15:15,敦化北路/八德路三段(東北側),37,1
944,YouBike2.0_捷運小巨蛋站(5號出口),22,2,松山區,2023-05-27 14:10:20,南京東路四段75-1號前,20,1
947,YouBike2.0_捷運松山站(2號出口),14,5,松山區,2023-05-27 14:14:14,八德路四段685號前,9,1
948,YouBike2.0_民權東路三段106巷口,22,3,松山區,2023-05-27 13:50:20,民權東路三段102號前,17,1
949,YouBike2.0_南京東路五段59巷口,11,1,松山區,2023-05-27 14:18:13,南京東路五段57號(前),10,1
950,YouBike2.0_三民公園(塔悠路),20,0,松山區,2023-05-27 13:55:12,塔悠路/撫遠街261巷(西側),20,1
951,YouBike2.0_寶清公園,13,7,松山區,2023-05-27 14:13:15,寶清街/寶清街30巷(北側),6,1
952,YouBike2.0_西松公園,11,1,松山區,2023-05-27 14:17:34,健康路/南京東路五段251巷50弄(西側),9,1
953,YouBike2.0_長壽公園,15,0,松山區,2023-05-27 14:15:04,健康路174號(旁),15,1
954,YouBike2.0_復源公園,14,3,松山區,2023-05-27 14:08:15,八德路三段106巷62號(對面),9,1
956,YouBike2.0_臺北田徑場(北寧路側),24,1,松山區,2023-05-27 14:18:13,八德路三段25號前,23,1
957,YouBike2.0_西松高中(健康路325巷),31,2,松山區,2023-05-27 14:06:16,健康路325巷 / 健康路325巷12弄口(東北側),29,1
960,YouBike2.0_介壽國中,12,0,松山區,2023-05-27 14:16:04,民生東路五段36巷/光復北路165巷,11,1
962,YouBike2.0_敦化八德路口,20,7,松山區,2023-05-27 13:55:23,敦化南路一段/八德路二段(西南側),13,1
963,YouBike2.0_新東街51巷口,23,3,松山區,2023-05-27 14:18:13,三民路 / 新東街51巷口(東側),20,1
964,YouBike2.0_八德立體停車場,16,1,松山區,2023-05-27 14:15:04,八德路/松信路(西南側),15,1
965,YouBike2.0_長春慶城街口,16,3,松山區,2023-05-27 14:17:34,長春路431號前,13,1
966,YouBike2.0_八德路四段652巷口,20,1,松山區,2023-05-27 13:50:20,八德路四段650號南側,19,1
967,YouBike2.0_捷運松山站(1號出口),15,2,松山區,2023-05-27 14:17:34,八德路四段711號前,11,1
968,YouBike2.0_捷運小巨蛋站(3號出口),15,1,松山區,2023-05-27 14:15:04,南京東路四段12號前,14,1
970,YouBike2.0_敦化北路155巷口,30,3,松山區,2023-05-27 14:12:15,敦化北路151號前分隔島,27,1
971,YouBike2.0_民生復興路口,17,6,松山區,2023-05-27 14:17:34,民生東路三段/復興北路(東南側),11,1
972,YouBike2.0_市民延吉街口,30,1,松山區,2023-05-27 14:17:34,市民大道/延吉街(市民大道橋下空地),27,1
973,YouBike2.0_龍城市場,15,3,松山區,2023-05-27 14:10:20,光復北路190巷35號對側,11,1
975,YouBike2.0_塔悠基隆路口(麥帥一橋下),20,4,松山區,2023-05-27 14:16:16,南京東路五段386號前,16,1
976,YouBike2.0_五常街370巷,11,3,松山區,2023-05-27 14:02:14,五常街370巷8號,8,1
978,YouBike2.0_南港公園(福德街),32,8,南港區,2023-05-27 14:12:15,福德街383號北側,24,1
980,YouBike2.0_忠孝東路六段225巷口,35,2,南港區,2023-05-27 14:16:04,忠孝東路六段219號,33,1
982,YouBike2.0_合樂公園,15,1,南港區,2023-05-27 14:11:15,玉成街46號東側,14,1
983,YouBike2.0_合心廣場,38,3,南港區,2023-05-27 14:05:05,忠孝東路六段17號東北側,35,1
984,YouBike2.0_成德國中,26,2,南港區,2023-05-27 14:17:34,東新街118巷15號南側,23,1
985,YouBike2.0_玉成公園,26,7,南港區,2023-05-27 14:13:15,玉成街247號對側,19,1
986,YouBike2.0_研究院舊莊街口,30,9,南港區,2023-05-27 14:15:15,舊莊街一段1號西側,21,1
987,YouBike2.0_中研院綜合體育館東側,30,8,南港區,2023-05-27 14:15:15,研究院路二段128號(體育館),22,1
988,YouBike2.0_國家生技園區,30,5,南港區,2023-05-27 14:11:15,研究院路一段130巷99號(國家生技園區),24,1
990,YouBike2.0_中研公園,40,1,南港區,2023-05-27 13:55:23,研究院路二段12巷58弄9號西側,39,1
991,YouBike2.0_福山公園,20,8,南港區,2023-05-27 14:04:19,福山街44巷27號東南側,12,1
992,YouBike2.0_舊莊區民活動中心,18,5,南港區,2023-05-27 14:18:13,舊莊街一段91巷11號西南側,13,1
993,YouBike2.0_凌雲市場,20,0,南港區,2023-05-27 13:56:04,研究院路三段68巷9號北側,20,1
995,YouBike2.0_捷運南港軟體園區(2號出口),34,4,南港區,2023-05-27 13:50:20,經貿二路183號(2號出口),30,1
996,YouBike2.0_南港國小,30,2,南港區,2023-05-27 14:17:34,惠民街67號東南側,28,1
997,YouBike2.0_興中立體停車場(興中路),26,1,南港區,2023-05-27 14:17:34,興中路44巷1號東側,25,1
999,YouBike2.0_東陽公園,30,5,南港區,2023-05-27 14:10:20,重陽路125巷34號東側,25,1
1000,YouBike2.0_向陽南港路口,21,2,南港區,2023-05-27 14:01:16,向陽路49號北側,18,1
1004,YouBike2.0_東新國小,22,1,南港區,2023-05-27 14:17:34,東明街68號北側,20,1
1005,YouBike2.0_中華科技大學,20,4,南港區,2023-05-27 14:15:15,研究院路三段246號東側,16,1
1006,YouBike2.0_六福公園,19,2,南港區,2023-05-27 14:08:15,研究院路二段35巷23弄25號北側,17,1
1007,YouBike2.0_南港加壓站,24,5,南港區,2023-05-27 14:16:16,研究院路二段3巷1號西側,19,1
1008,YouBike2.0_臺北流行音樂中心(南港路),21,6,南港區,2023-05-27 13:50:20,南港路二段200-1號南側,15,1
1009,YouBike2.0_興南公園,26,8,南港區,2023-05-27 13:44:17,重陽路269號南側,18,1
1012,YouBike2.0_忠孝東路七段527巷口,15,4,南港區,2023-05-27 13:55:23,忠孝東路七段552號,11,1
1014,YouBike2.0_世貿公園,35,8,南港區,2023-05-27 14:02:14,經貿二路188-1號,26,1
1015,YouBike2.0_凌雲五村(研究院路三段8巷),26,2,南港區,2023-05-27 13:23:15,研究院路三段10巷1號東側,24,1
1016,YouBike2.0_新新公園(昆陽街60巷),20,2,南港區,2023-05-27 14:14:14,南港路三段47巷8號南側,18,1
1017,YouBike2.0_南港高中(昆陽街),14,3,南港區,2023-05-27 13:43:14,昆陽街58號東側,10,1
1018,YouBike2.0_南港路三段290巷口,20,2,南港區,2023-05-27 13:29:14,南港路三段314巷20號,18,1
1019,YouBike2.0_南港路三段220巷口,25,2,南港區,2023-05-27 14:06:16,南港路三段133號,22,1
1020,YouBike2.0_南港東新街口,28,8,南港區,2023-05-27 14:12:15,東新街4號東側,20,1
1021,YouBike2.0_八德中坡路口,26,8,南港區,2023-05-27 14:07:14,八德路四段873號,18,1
1022,YouBike2.0_捷運後山埤站(3號出口),12,0,南港區,2023-05-15 07:23:15,玉成街150號,12,0
1023,YouBike2.0_玉成公園運動中心,15,3,南港區,2023-05-27 14:01:16,中坡南路19號,12,1
1024,YouBike2.0_百福公園,18,3,南港區,2023-05-27 14:17:34,福德街309巷7號南側,14,1
1025,YouBike2.0_南湖大橋(經貿二路255巷),20,7,南港區,2023-05-27 13:26:19,經貿二路255巷1號,13,1
1026,YouBike2.0_園區重陽路口,13,1,南港區,2023-05-27 14:16:04,重陽路458號西側,12,1
1028,YouBike2.0_胡適公園,20,2,南港區,2023-05-27 12:44:14,研究院路二段/研究院路二段132巷北側,18,1
1029,YouBike2.0_南港抽水站,13,5,南港區,2023-05-27 13:49:15,重陽路505號,8,1
1030,YouBike2.0_經貿公園,20,1,南港區,2023-05-27 13:06:16,經園街58號北側,19,1
1031,YouBike2.0_育成高中,20,1,南港區,2023-05-27 14:08:04,惠民街71號西側,19,1
1033,YouBike2.0_力行橋(南港),18,1,南港區,2023-05-27 14:13:15,研究院路一段101巷16弄2號南側,17,1
1034,YouBike2.0_舊莊國小(舊莊街一段),15,0,南港區,2023-05-27 14:14:04,舊莊街一段/舊莊街一段145巷口,15,1
1035,YouBike2.0_向陽公園,17,7,南港區,2023-05-27 14:12:15,成功路一段76號對側,10,1
1036,YouBike2.0_小彎社會住宅,51,5,南港區,2023-05-27 13:45:16,向陽路258巷/重陽路39巷口(西南側),46,1
1037,YouBike2.0_捷運南港展覽館站(6號出口),25,5,南港區,2023-05-27 13:10:22,南港路一段28號旁,20,1
1039,YouBike2.0_成德綠地,17,4,南港區,2023-05-27 14:18:13,東新街65號東南側,13,1
1040,YouBike2.0_南港公園(東新街170巷),16,6,南港區,2023-05-27 13:46:16,東新街170巷63號對側,10,1
1042,YouBike2.0_昆陽公園,14,0,南港區,2023-05-27 13:34:04,昆陽街173號對側,14,1
1043,YouBike2.0_南港路二段178巷口,18,3,南港區,2023-05-27 13:30:39,南港路二段 / 南港路二段178巷口(北側),14,1
1046,YouBike2.0_玉成公園(成福路178巷口),18,2,南港區,2023-05-27 14:15:15,成福路178巷8號對側,14,1
1047,YouBike2.0_玉東公園(東新街),14,5,南港區,2023-05-27 14:06:16,東新街/市民大道七段(北側),9,1
1049,YouBike2.0_成福路197巷口,15,0,南港區,2023-05-27 14:04:06,成福路197巷/成福路,15,1
1050,YouBike2.0_南港疏散門(基三號疏散門),15,5,南港區,2023-05-27 14:09:14,松河街398號對側,10,1
1052,YouBike2.0_南港展覽館2館,18,0,南港區,2023-05-27 14:17:24,經貿二路/南港路一段(西北側),18,1
1053,YouBike2.0_舊莊派出所,15,3,南港區,2023-05-27 13:46:16,舊莊街一段/舊莊街一段215巷,12,1
1054,YouBike2.0_南港路三段80巷,15,4,南港區,2023-05-27 13:43:14,南港路三段/南港路三段80巷,11,1
1056,YouBike2.0_忠孝東路六段278巷口,14,0,南港區,2023-05-27 13:51:04,忠孝東路/忠孝東路六段278巷,14,1
1057,YouBike2.0_中研院人文社會科學館,20,6,南港區,2023-05-27 13:50:20,研究院路二段128號(人文社會科學館),14,1
1058,YouBike2.0_南港路三段130巷口,12,4,南港區,2023-05-27 10:51:16,松河街380號對側,8,1
1059,YouBike2.0_南港路三段190巷口,16,5,南港區,2023-05-27 13:49:15,松河街358號對側,11,1
1060,YouBike2.0_忠孝東路六段212巷口,15,2,南港區,2023-05-27 14:16:16,忠孝東路六段226號前,12,1
1061,YouBike2.0_新富公園,13,3,南港區,2023-05-27 14:17:34,富康街47巷2號對側,10,1
1063,YouBike2.0_內湖機廠(港東街),15,6,南港區,2023-05-27 14:08:15,經貿一路77號(港東街),9,1
1064,YouBike2.0_黎忠區民活動中心,16,5,信義區,2023-05-27 14:18:14,和平東路三段391巷16號,11,1
1065,YouBike2.0_基隆路二段159巷口,14,2,信義區,2023-05-27 14:18:14,基隆路二段155號,9,1
1066,YouBike2.0_嘉興街175巷口,16,2,信義區,2023-05-27 14:16:16,基隆路二段131-4號(前),13,1
1067,YouBike2.0_和平東路三段631巷口,15,0,信義區,2023-05-27 13:40:10,和平東路三段633號前,15,1
1068,YouBike2.0_和平東路三段530巷口,15,4,信義區,2023-05-27 14:18:14,和平東路三段530巷口東北側,11,1
1071,YouBike2.0_三興公園,31,2,信義區,2023-05-27 14:16:16,吳興街118巷35弄28號前方(三興公園),29,1
1072,YouBike2.0_松德站,48,2,信義區,2023-05-27 14:18:14,松德路300號南側,46,1
1074,YouBike2.0_象山公園,34,3,信義區,2023-05-27 14:16:16,松仁路153巷15號東側,31,1
1075,YouBike2.0_松仁路253巷3弄,26,0,信義區,2023-05-27 14:13:04,松仁路215巷6號,25,1
1077,YouBike2.0_捷運象山站(1號出口),24,5,信義區,2023-05-27 14:18:14,信義路5段152號(1號出口),18,1
1079,YouBike2.0_中全公園,17,6,信義區,2023-05-27 14:17:34,虎林街164巷54號北側,11,1
1080,YouBike2.0_台北市災害應變中心,45,1,信義區,2023-05-27 14:16:16,莊敬路391巷11弄2號(東北側),43,1
1082,YouBike2.0_捷運台北101/世貿站(3號出口),15,9,信義區,2023-05-27 14:14:14,信義路五段16號前,3,1
1083,YouBike2.0_景新公園,17,6,信義區,2023-05-27 14:18:14,莊敬路239巷12號(對面),11,1
1084,YouBike2.0_光復信義路口東南側,16,0,信義區,2023-05-27 14:17:24,光復南路485號前方,15,1
1085,YouBike2.0_三張犁,40,1,信義區,2023-05-27 14:17:34,光復南路455號前方,35,1
1086,YouBike2.0_仁愛路四段496巷口,34,4,信義區,2023-05-27 14:17:34,仁愛路四段與仁愛路四段496巷口西南側,29,1
1087,YouBike2.0_松山工農,34,8,信義區,2023-05-27 14:13:15,忠孝東路五段236巷15號(前),26,1
1088,YouBike2.0_松友公園,27,1,信義區,2023-05-27 14:17:24,信義路六段76巷2弄22號(對面),25,1
1090,YouBike2.0_松山家商,25,1,信義區,2023-05-27 14:08:04,松山路655號(前),24,1
1092,YouBike2.0_臺北市政府,63,6,信義區,2023-05-27 14:16:16,台北市政府東門(松智路),57,1
1094,YouBike2.0_市府松壽路口,28,7,信義區,2023-05-27 14:13:15,市府路/松壽路(東北側),19,1
1095,YouBike2.0_市府松高路口,54,4,信義區,2023-05-27 14:15:15,市府路/松高路(東南側),49,1
1096,YouBike2.0_市民廣場,30,4,信義區,2023-05-27 14:18:14,市府路/松壽路(西北側),26,1
1099,YouBike2.0_春光公園,30,0,信義區,2023-05-27 14:05:05,林口街230號(斜對面),29,1
1101,YouBike2.0_福德國小,35,0,信義區,2023-05-27 14:16:04,福德街251巷2號對側,33,1
1102,YouBike2.0_福德公園,35,2,信義區,2023-05-27 14:17:34,大道路與大道路145巷口,31,1
1105,YouBike2.0_福祥公園,19,6,信義區,2023-05-27 14:14:14,松隆路99號西南側,13,1
1106,YouBike2.0_吳興公車總站,56,5,信義區,2023-05-27 14:12:15,松仁路277號南側,51,1
1107,YouBike2.0_泰和公園,34,6,信義區,2023-05-27 14:09:14,吳興街600巷81號西側,27,1
1108,YouBike2.0_興雅國小(基隆路一段37巷),15,0,信義區,2023-05-27 14:09:04,基隆路一段83巷9號西側,13,1
1111,YouBike2.0_五常公園,19,3,信義區,2023-05-27 14:16:16,松隆路161號對側,14,1
1112,YouBike2.0_永吉松信路口,25,9,信義區,2023-05-27 14:18:14,松信路/永吉路西南側人行道,16,1
1113,YouBike2.0_三興國小,22,3,信義區,2023-05-27 14:11:15,基隆路二段99-1號(前),19,1
1114,YouBike2.0_市民松信路口,20,0,信義區,2023-05-27 13:39:04,市民大道六段/松信路口(西側),18,1
1116,YouBike2.0_基隆光復路口,17,0,信義區,2023-05-27 14:08:04,基隆路二段/光復南路(東北側),17,1
1117,YouBike2.0_基隆忠孝路口西南側,14,9,信義區,2023-05-27 14:17:34,忠孝東路四段550號,3,1
1118,YouBike2.0_泰和里民活動中心,18,5,信義區,2023-05-27 14:12:15,松仁路308巷60號,12,1
1120,YouBike2.0_虎林永吉路口,15,1,信義區,2023-05-27 14:17:34,永吉路356號東側,13,1
1121,YouBike2.0_永吉公園,18,1,信義區,2023-05-27 13:39:14,永吉路326巷66號西側,14,1
1122,YouBike2.0_永吉路321巷口,15,5,信義區,2023-05-27 14:15:15,永吉路323號西側,9,1
1123,YouBike2.0_松山永吉路口,20,1,信義區,2023-05-27 14:11:15,松山路166號,19,1
1128,YouBike2.0_松德虎林街口,25,1,信義區,2023-05-27 14:17:24,松德路79號前,22,1
1130,YouBike2.0_基隆路一段101巷口,23,2,信義區,2023-05-27 14:13:15,基隆路一段109-6號前,20,1
1131,YouBike2.0_捷運永春站(2號出口),28,0,信義區,2023-05-27 14:14:04,虎林街132巷44號西側,28,1
1132,YouBike2.0_吳興街260巷,32,1,信義區,2023-05-27 14:17:34,吳興街260巷/吳興街260巷21弄口(東南側),31,1
1134,YouBike2.0_仁愛逸仙路口,28,8,信義區,2023-05-27 14:15:15,仁愛路四段/逸仙路口(西北側),19,1
1135,YouBike2.0_安強公園,20,1,信義區,2023-05-27 14:18:14,虎林街222巷55號,18,1
1136,YouBike2.0_信義基隆路口,20,5,信義區,2023-05-27 14:18:14,信義路四段393號前,14,1
1138,YouBike2.0_吳興街284巷36弄口,25,2,信義區,2023-05-27 14:10:20,吳興街284巷36弄24號西側,21,1
1140,YouBike2.0_福德國小公車站,10,0,信義區,2023-05-27 14:14:04,福德街308號對側,10,1
1143,YouBike2.0_景聯廣場,13,9,信義區,2023-05-27 14:14:14,松勤街8號對側,3,1
1144,YouBike2.0_景平公園,13,0,信義區,2023-05-27 14:16:04,松平路50巷15號對側,13,1
1146,YouBike2.0_五分埔公園,18,4,信義區,2023-05-27 14:08:04,中坡北路57號旁,14,1
1147,YouBike2.0_松仁路305號,14,0,信義區,2023-05-27 14:01:04,松仁路/吳興街583巷3弄,14,1
1148,YouBike2.0_吳興街394巷口,12,2,信義區,2023-05-27 14:14:14,吳興街394巷/吳興街,10,1
1150,YouBike2.0_松勤莊敬路口,15,5,信義區,2023-05-27 14:11:15,松勤街/莊敬路,10,1
1151,YouBike2.0_松仁松平路口,10,0,信義區,2023-05-27 14:11:04,松仁路/松平路,10,1
1152,YouBike2.0_信義松德路口,18,0,信義區,2023-05-27 14:03:05,信義路五段180號前,18,1
1153,YouBike2.0_捷運市政府站(4號出口),14,8,信義區,2023-05-27 14:15:15,忠孝東路五段71巷/忠孝東路五段31巷18弄,2,1
1154,YouBike2.0_吳興街284巷(廣安宮),15,0,信義區,2023-05-27 14:18:14,吳興街284巷23號對側,14,1
1155,YouBike2.0_景勤二號公園(西南側),22,5,信義區,2023-05-27 14:10:20,信安街67巷/信安街口東南側,16,1
1156,YouBike2.0_克勤新村,18,1,信義區,2023-05-27 14:17:24,信安街67巷75號對側,16,1
1157,YouBike2.0_和平東路三段291號,15,2,信義區,2023-05-27 14:09:14,和平東路三段291號前,13,1
1160,YouBike2.0_萬大路486巷口,10,8,萬華區,2023-05-27 14:13:15,萬大路482號(旁),2,1
1161,YouBike2.0_國興中華路口,14,8,萬華區,2023-05-27 14:04:19,國興路2號前,6,1
1164,YouBike2.0_青年公園高爾夫球場,16,8,萬華區,2023-05-27 14:16:16,國興路42號對側,8,1
1165,YouBike2.0_國興青年路口,30,3,萬華區,2023-05-27 14:17:34,國興路與青年路口西南側,27,1
1166,YouBike2.0_青年公園棒球場,28,0,萬華區,2023-05-27 13:08:04,青年路66號對側,27,1
1167,YouBike2.0_青年公園籃球場,16,7,萬華區,2023-05-27 14:12:15,青年公園籃球場南側,7,1
1169,YouBike2.0_新和國小,20,1,萬華區,2023-05-27 14:17:34,萬大路277巷37弄1號東側,17,1
1171,YouBike2.0_莒光立體停車場,10,0,萬華區,2023-05-27 14:14:04,莒光路137號前,10,1
1174,YouBike2.0_華中疏散門,12,3,萬華區,2023-05-27 13:57:15,環河南路三段371號前,8,1
1176,YouBike2.0_忠德公園,19,1,萬華區,2023-05-27 13:58:15,東園街66巷20弄27號前,18,1
1179,YouBike2.0_雙園國中,24,0,萬華區,2023-05-27 14:13:04,西園路二段320巷與興義街口,22,1
1180,YouBike2.0_長順區民活動中心,26,6,萬華區,2023-05-27 13:26:19,長順街127號前,19,1
1182,YouBike2.0_華江八號公園,20,1,萬華區,2023-05-27 14:17:24,環河南路二段216號旁,18,1
1183,YouBike2.0_環河南雙園街口,15,6,萬華區,2023-05-27 14:17:34,環河南路二段282號前,9,1
1185,YouBike2.0_糖廍文化園區,14,0,萬華區,2023-05-27 14:17:34,大理街177號對側,13,1
1186,YouBike2.0_兩棵樹公園,17,6,萬華區,2023-05-27 13:57:15,艋舺大道與大理街160巷20弄口東側,11,1
1190,YouBike2.0_長沙公園,24,9,萬華區,2023-05-27 13:53:16,環河南路一段280-1號(對面),14,1
1191,YouBike2.0_貓公園(中興橋頭),15,0,萬華區,2023-05-27 13:14:04,成都路108號(對面),14,1
1193,YouBike2.0_中華桂林路口,28,1,萬華區,2023-05-27 14:14:14,中華路一段與桂林路口西北側,27,1
1195,YouBike2.0_龍山國小,24,6,萬華區,2023-05-27 14:03:16,和平西路三段235號(旁),18,1
1201,YouBike2.0_臺北市電影主題公園(峨嵋街),15,1,萬華區,2023-05-27 13:59:15,峨嵋街100號(對面),14,1
1203,YouBike2.0_中華峨嵋街口,24,9,萬華區,2023-05-27 14:14:14,中華路一段130號(前),15,1
1204,YouBike2.0_萬華266號綠地,15,6,萬華區,2023-05-27 14:12:15,康定路81號(對面),8,1
1205,YouBike2.0_萬大國小(萬大路344巷口),18,8,萬華區,2023-05-27 14:09:14,萬大路346號(旁),9,1
1206,YouBike2.0_德昌街10巷口,10,6,萬華區,2023-05-27 13:58:15,德昌街15號(對面),3,1
1207,YouBike2.0_環河南和平西路口,20,6,萬華區,2023-05-27 12:13:15,環河南路一段/和平西路三段口(西南側),14,1
1208,YouBike2.0_長順街60巷口,15,3,萬華區,2023-05-27 12:26:16,長順街60巷38號對側,12,1
1211,YouBike2.0_柳鄉公園,21,5,萬華區,2023-05-27 14:05:16,環河南路二段102號西北側,14,1
1212,YouBike2.0_綠堤社區公園,22,8,萬華區,2023-05-27 14:13:15,大理街170巷與環河南路二段159巷口,14,1
1213,YouBike2.0_長順艋舺大道口,26,8,萬華區,2023-05-27 09:38:14,長順街與雙園街106巷口,18,1
1214,YouBike2.0_富民路145巷口,20,2,萬華區,2023-05-27 13:58:04,富民路151號對側,18,1
1215,YouBike2.0_環南綜合市場,14,6,萬華區,2023-05-27 13:10:22,環河南路二段245號旁,8,1
1216,YouBike2.0_龍山國中,15,3,萬華區,2023-05-27 13:50:20,南寧路與廣州街口南側,12,1
1217,YouBike2.0_洛陽停車場,22,0,萬華區,2023-05-27 14:17:24,昆明街與洛陽街口西側,20,1
1220,YouBike2.0_青年公園3號出口,38,1,萬華區,2023-05-27 14:18:14,青年路/青年路106巷(東側),33,1
1224,YouBike2.0_萬大路493巷,10,2,萬華區,2023-05-27 13:55:23,萬大路493巷44號旁,7,1
1225,YouBike2.0_雙園國中地下停車場,12,1,萬華區,2023-05-27 14:13:04,西園路二段320巷55弄8-10號前,10,1
1226,YouBike2.0_青年路152巷口,16,7,萬華區,2023-05-27 14:01:16,青年路152巷59號對側,8,1
1227,YouBike2.0_臺大水源舍區A棟,37,9,臺大專區,2023-05-27 14:18:14,汀洲路三段60巷2弄路側(A舍北側),25,1
1228,YouBike2.0_臺大卓越研究大樓,32,6,臺大專區,2023-05-27 14:12:15,臺大水源舍區C南側,23,1
1229,YouBike2.0_臺大水源修齊會館,18,0,臺大專區,2023-05-27 14:01:04,思源街16號之1旁,15,1
1230,YouBike2.0_臺大檔案展示館,10,2,臺大專區,2023-05-27 13:57:15,臺大檔案展示館東北側,7,1
1232,YouBike2.0_臺大男八舍東側,42,0,臺大專區,2023-05-27 14:12:04,臺大男八舍東側,42,1
1233,YouBike2.0_臺大禮賢樓東南側,23,8,臺大專區,2023-05-27 14:14:14,臺大仰萃樓東南側,15,1
1236,YouBike2.0_臺大土木系館,30,9,臺大專區,2023-05-27 14:14:14,臺大土木工程學系所南側,21,1
1237,YouBike2.0_臺大大一女舍北側,53,5,臺大專區,2023-05-27 14:14:14,臺大女一舍北側,48,1
1240,YouBike2.0_臺大立體機車停車場,27,5,臺大專區,2023-05-27 13:57:15,基隆路三段/基隆路三段156巷口北側,21,1
